,type,title,description,viewCount,lengthText,country,date
0,video,"Peaceful Autumn Cozy Cabin 🍂 Soft Rain and Fireplace Sounds for Sleep, Relaxation, or Study","Peaceful Autumn Cozy Cabin 🍂 Soft Rain and Fireplace Sounds for Sleep, Relaxation, or Study

Unwind and relax with gentle rain, jazz, and fireplace in a cozy autumn cabin. Let the warm,...",152837,11:55:00,NO,2024-10-11
1,shorts_listing,Shorts,,,,NO,2024-10-11
2,video_listing,Trending,,,,NO,2024-10-11
3,shorts_listing,Shorts,,,,NO,2024-10-11
4,video,"Adele, The Weeknd, Ariana Grande, Miley Cyrus, Dua Lipa, Ed Sheeran, Bruno Mars, Sia🌟Pop Songs 2025","#hitsmusic #popmusic #TopHits2025 #PopMusic #NewPopularSongs #BestEnglishSongs 
Adele, The Weeknd, Ariana Grande, Miley Cyrus, Dua Lipa, Ed Sheeran, Bruno Mars, Sia🌟Pop Songs 2025
https://youtu....",4808,3:28:54,NO,2024-10-11
5,video,Taylor Swift Full Album Playlist 2024 🎶 Greatest Hits Compilation,"Taylor Swift Full Album Playlist 2024 🎶 Greatest Hits Compilation
Taylor Swift Full Album Playlist 2024 🎶 Greatest Hits Compilation
Taylor Swift Full Album Playlist 2024 🎶 Greatest...",114,1:50:56,NO,2024-10-11
6,video,GAME OF THE WEEK! Baltimore Ravens vs. Cincinnati Bengals FULL GAME | NFL 2024 Season Week 5,"With NFL+, catch all the action and stream live local and primetime games on mobile devices all the way from the regular season through the playoffs. Visit Plus.NFL.com to learn more. Subscribe...",131162,2:18:03,NO,2024-10-11
7,video,"Music for Studying , Focus Music - 12 Hours of Ambient Study Music to Concentrate & Focus Memory #21","Music for Studying , Focus Music - 12 Hours of Ambient Study Music to Concentrate & Focus Memory #21

Enjoy these 12 of deep focus music to improve concentration while studying with a beautiful...",227172,10:10:12,NO,2024-10-11
8,video,"Hurricane Milton devastates the Manasota Key and Grove City, Florida - Drone","Hurricane Milton leaves homes badly damaged or completely washed away, boats crashed into houses, streets covered in sand. First look at Manitoba Key and Grove City after significant storm...",3394800,8:36,NO,2024-10-11
9,video,10 hours of pure black screen,Black screen,47795,10:00:38,NO,2024-10-11
10,video,A P.A.T.H. Forward - South Dakota Pheasant Hunting & Public Access to Habitat,"Expanding public access to upland wildlife habitat is one of the four strategic priorities that guide the work of Pheasants Forever. In fact, we have a goal of increasing public access to privately...",1413,12:34,NO,2024-10-11
11,video,"chilling ~ 90's r&b/soul/playlist 🎶 Mary J. Blige, Akon, Nelly, Ne-Yo, Usher","✔️""Step into a world where soulful rhythms and emotive lyrics reign supreme with our dedicated YouTube channel celebrating the rich tapestry of R&B and soul music from the 90s and 2000s....",2158374,1:23:07,NO,2024-10-11
12,video,Joe Rogan Experience #2211 - Michael Shellenberger,"Michael Shellenberger is an investigative journalist and founder of Public, a Substack publication, founder and president of Environmental Progress, a research organization that incubates ideas,...",636566,3:15:30,NO,2024-10-11
13,video,12 A.M Study Session 📚 [lofi hip hop],"💿| Listen everywhere
→ https://fanlink.tv/12AMStudySession

🎶 | Tracklist
[00:00] Tibeauthetraveler x So.Lo - Goodnight
[02:56] eaup x Epona - Seashells
[05:11] Lawrence Walther x Tibeauthe...",7027524,1:02:00,NO,2024-10-11
14,video,Nelk Boys Have The Most Chaotic Golf Match!,"SHOP FULL SEND GOLF: https://fullsend.com/collections/fullsend-golf 

SUBSCRIBE HERE: https://www.youtube.com/channel/UCLpyfBtmj6hxmrMWhXQi6RA?sub_confirmation=1

Try Bored Jerky 
https://www.amazo...",312028,1:04:01,NO,2024-10-11
15,video,Porsche 911 Turbo S v SLEEPER Skoda Superb: DRAG RACE,"Change your car with Carwow: https://bit.ly/Change-Your-Car-0810

We’ve got our hands on a Porsche 996 911 Turbo S and it’s going up against… A Skoda Superb?! 

Think it sounds like an...",828899,11:47,NO,2024-10-11
16,video,Healing Forest Ambience | 639Hz + 741Hz - Miracle Tones | Attract Love + Clear All Negative Energ...,"#treeoflife  #meditation   #chakrahealing 
HEALING FOREST AMBIENCE | 639Hz + 741Hz - Miracle Tones | Attract Love + Clear ALL Negative Energy
Channel: Healing Frequency Vibrations
🎵Track...",1156282,11:55:00,NO,2024-10-11
17,video,Trying Korean Fried Chicken for the first time!,"Over the years, we've had amazing opportunities to introduce people to one of our favourite foods: Korean Fried Chicken! Today we've combined them all for you to see a whole bunch of familiar...",325490,32:00,NO,2024-10-11
