,type,title,description,viewCount,lengthText,isLive,badges,country,date
0,video,"Heavy Rain On Roof For Deep Sleep & Insomnia Relief - Night Thunderstorm For Insomnia, Study, Relax","HEAVY RAIN on Roof for Deep Sleep & Insomnia Relief - Night Thunderstorm for Insomnia, Study, Relax

--------------------------------
Relaxing Rain for Sleep. Rain Sound for Deep Sleep and...",718803,11:55:00,,,CA,2024-10-16
1,shorts_listing,Shorts,,,,,,CA,2024-10-16
2,video_listing,Trending,,,,,,CA,2024-10-16
3,shorts_listing,Shorts,,,,,,CA,2024-10-16
4,video,Warm Fall Morning Jazz & Cozy Coffee Shop Ambience for Unwind 🍂 Relaxing Jazz Instrumental Music,"Warm Fall Morning Jazz & Cozy Coffee Shop Ambience for Unwind 🍂 Relaxing Jazz Instrumental Music

👉️🎼 Let's experience the great music on Spotify of Relax Jazz Cafe. Register now...",115241,11:54:56,,,CA,2024-10-16
5,video,A Side of Canada The Media Won't Show You!,"A Side of Canada The Media Won't Show You is a video of me exploring the unseen parts of Toronto, Canada. It's my first trip to this side of North America, and I show you what life is like...",338751,28:52,,,CA,2024-10-16
6,video_listing,Breaking news,,,,,,CA,2024-10-16
7,video,🔴 LIVE! #Scoobtober Scooby-Doo Monster Marathon 👻 Watch FULL EPISODES! | @wbkids,"It’s officially spooky season 👻 which means it's time for… Scoobtober! 🎃 

We are treating you to a marathon of seemingly endless episodes and a movie with Scooby-Doo! and the gang!...",1703,LIVE,True,['LIVE'],CA,2024-10-16
8,video,"Music for Studying , Focus Music - 12 Hours of Ambient Study Music to Concentrate & Focus Memory #8","Music for Studying , Focus Music - 12 Hours of Ambient Study Music to Concentrate & Focus Memory #8


Enjoy these 12 of deep focus music to improve concentration while studying with a beautiful...",310284,11:54:57,,,CA,2024-10-16
9,video,asian lofi radio ⛩️ beats to relax/study to,"🎼 | Listen on Spotify, Apple music and more
→  https://fanlink.tv/asian-lofi

🌎 | Lofi Girl on all social media
→  https://fanlink.tv/lofigirl-social

👕 | Lofi Girl merch
→ ...",1738,LIVE,True,['LIVE'],CA,2024-10-16
10,video,The Subway Surfers of New York,"Patreon Exclusive Clips: https://www.patreon.com/tommygmcgee
Big Dog Merch: https://tommygmcgee.com/

NLN Squad: 
Main Guy ""James"" : @c.mvrdaaa

Terrell: @terrellismail   
Wish him well on...",1221029,27:06,,,CA,2024-10-16
11,video,"""All In"" - Elon Musk's BRUTALLY Honest Interview With Tucker Carlson (2024)",Elon Musk's BRUTALLY Honest Interview With Tucker Carlson (2024)  | Are you an Elon Musk Fan? - Join Visionary Society For Exclusive Elon Musk Interviews and more! 👉🏻 https://bit.ly/TheVision...,1721581,24:01,,,CA,2024-10-16
12,video,"432Hz - The DEEPEST Healing, Stop Thinking Too Much, Eliminate Stress, Anxiety and Calm the Mind #23","432Hz - The DEEPEST Healing, Stop Thinking Too Much, Eliminate Stress, Anxiety and Calm the Mind #23
432Hz - The DEEPEST Healing, Stop Thinking Too Much, Eliminate Stress, Anxiety and Calm...",1013800,11:54:59,,,CA,2024-10-16
13,video,"Soft Rock Songs 70s 80s 90s Full Album 📀 Michael Bolton, Rod Stewart, Phil Collins, Bee Gees, Lobo","Soft Rock Songs 70s 80s 90s Full Album 📀 Michael Bolton, Rod Stewart, Phil Collins, Bee Gees, Lobo
https://youtu.be/m4MgSl_HOcs
© Follow Soft Rock Melodies
📢 Subscribe to the channel...",1909974,3:03:38,,,CA,2024-10-16
14,video,"Trump’s Mad at “Loser” Jimmy Kimmel Again, Holds a DOOZY of a Town Hall & Attacks Kamala’s Health","Election Day is exactly three weeks from today, Donald Trump just did a podcast with the Nelk Boys where he once again turned the conversation towards Jimmy, last night he held a doozy of a...",913065,14:26,,,CA,2024-10-16
15,video,"Joaquín ""El Chapo"" Guzmán's Capture, Escape and Recapture | 60 Minutes Full Episodes","From 2014, Bill Whitaker's first story on the capture of Sinaloa drug cartel kingpin Joaquin ""El Chapo"" Guzmán. From 2015, Whitaker's story on Guzmán's escape from the tightest prison in...",756774,39:15,,,CA,2024-10-16
16,video,WIN THE CASH JACKPOT IF YOU FINISH THIS UNBEATEN BREAKFAST CHALLENGE FAST ENOUGH! | BeardMeatsFood,"In this week's episode we're back on home soil having a bash at, you guessed it, another full English breakfast challenge...

So far nobody's got the better of it, but if you do, not only is...",2831110,11:14,,,CA,2024-10-16
17,video,"Beautiful Relaxing Hymns, Peaceful Music, ""The White Mountains Autumn Morning Sunrise"" by Tim Janis","Beautiful Relaxing Hymns, Peaceful Music, ""The White Mountains Autumn Morning Sunrise"" by Tim Janis.  Traditional Hymns like, Amazing Grace, Ave Maria, How Great Thou Art, Blessed Assurance,...",188,LIVE,True,['LIVE'],CA,2024-10-16
18,video,What The Hell is Even That?,"Check out my new channel @SMii7Yplays 

All the footage featured in this video was livestreamed on my Twitch channel!
Follow it to catch the streams live when they happen! - https://www.twitch.tv/s...",1363011,25:18,,,CA,2024-10-16
19,video,Diddy's Life Inside NYC Hellhole Jail,"Sean Combs, aka P. Diddy aka Puff Daddy—or should we say, inmate 37452-054—is enduring a true nightmare at New York’s Metropolitan Detention Center in Brooklyn. This facility, often labeled...",1006965,8:29,,,CA,2024-10-16
20,video,Dude Perfect Headquarters is GONE!,"DPHQ3 reveal is COMING SOON, but welcome to Under Construction Overtime! Ty becomes spider-man, Cory aims for his first Get Crafty win, we replay some iconic DPHQ2 moments, and... a NEW Wheel...",5772828,27:54,,,CA,2024-10-16
21,video,Adele Songs 2024 ~ Adele Greatest Hits Full Album 2024 ~ Top 30 Best Playlist Of All Time Lyrics 108,"Adele Songs 2024 ~ Adele Greatest Hits Full Album 2024 ~ Top 30 Best Playlist Of All Time Lyrics 108
Adele Songs 2024 ~ Adele Greatest Hits Full Album 2024 ~ Top 30 Best Playlist Of All Time...",271139,2:11:40,,,CA,2024-10-16
22,video,Doctor Reacts To SCARY Medical TikToks,"Get a 60-day free trial at https://www.shipstation.com/doctormike. Thanks to ShipStation for sponsoring the show!   

I'll teach you how to become the media's go-to expert in your field. Enroll...",1110571,14:55,,,CA,2024-10-16
