,type,title,description,viewCount,lengthText,isLive,country,date
0,video,"Music for Studying , Focus Music - 12 Hours of Ambient Study Music to Concentrate & Focus Memory #21","Music for Studying , Focus Music - 12 Hours of Ambient Study Music to Concentrate & Focus Memory #21

Enjoy these 12 of deep focus music to improve concentration while studying with a beautiful...",227172,10:10:12,,ES,2024-10-11
1,shorts_listing,Shorts,,,,,ES,2024-10-11
2,video_listing,Breaking news,,,,,ES,2024-10-11
3,shorts_listing,Shorts,,,,,ES,2024-10-11
4,video,San Francisco 49ers vs. Seattle Seahawks Game Highlights | NFL 2024 Season,"Check out our other channels:
NFL Mundo https://www.youtube.com/mundonfl
NFL Brasil https://www.youtube.com/c/NFLBrasilOficial
NFL UK https://www.youtube.com/channel/UCVe0dAja_vZCmvfHXjtdRQA...",766445,13:21,,ES,2024-10-11
5,video,Rush Nextbot Gmod,#nextbots #garrysmod #gmod #nextbotchase #nextbotchasing #shortsvideo #shorts #nextbotchase #garrysmod #fyp #games #skibiditoilet #robloxindo #gta,421,8:06,,ES,2024-10-11
6,video_listing,Trending,,,,,ES,2024-10-11
7,video,Jazz coffee ☕ Relaxing Morning Jazz Music and Elegant Bossa Nova instrumental for Good Mood,"Jazz coffee ☕ Relaxing Morning Jazz Music and Elegant Bossa Nova instrumental for Good Mood
#jazz #jazzcafe #bossanova

🎵 Immerse yourself in the soothing blend of relaxing jazz and elegant...",288922,11:52:33,,ES,2024-10-11
8,video,"Adele, Maroon 5, The Weeknd, Ed Sheeran, Bruno Mars, Taylor Swift, Selena Gomez 🔥🔥 Billboard Hot 100","Adele, Maroon 5, The Weeknd, Ed Sheeran, Bruno Mars, Taylor Swift, Selena Gomez 🔥🔥 Billboard Hot 100

https://www.youtube.com/channel/UCJ2W49X9Xr2tgUvOii0AQBA

Tune in to experience the...",1030028,2:24:16,,ES,2024-10-11
9,video,القارئ الشيخ :  ماهر المعيقلي سورة البقرة ||  Sourat Albaqarah  Sheikh: Maher Al Muaiqly,"القارئ الشيخ :  ماهر المعيقلي سورة البقرة ||  Sourat Albaqarah  Sheikh: Maher Al Mueaqly

#quran  #qurantilawat
#القران 
#القران_الكريم
#qurantila...",7648274,1:48:01,,ES,2024-10-11
10,video,"MÚSICA RELAJANTE ZEN PARA REDUCIR LA ANSIEDAD, CALMAR LA MENTE Y DEJAR DE PENSAR - MEDITACION","Música Relajante zen para reducir la ansiedad, calmar la mente y dejar de pensar. Música zen con Piano para relajarse o meditar. Hermosos paisajes de naturaleza con música tranquilara de...",4080722,11:55:01,,ES,2024-10-11
11,video,Colorful Yoshie Family Vs Houses in Garry's Mod!,,279,10:09,,ES,2024-10-11
12,video,Ｎｉｇｈｔ Ｄｒｉｖｅ ~ lofi hip hop mix ~ beats to chill / drive to,"🌺 Listen to PUEBLO VISTA // ⟪ pvmm ⟫
→ https://pvmm.ffm.to/lofivibes
→ https://pvmm.ffm.to/chillbeats
→ https://pvmm.ffm.to/lofidad

Ｎｉｇｈｔ Ｄｒｉｖｅ ~ lofi hip...",3440090,24:37:03,,ES,2024-10-11
13,video,"Hurricane Milton devastates the Manasota Key and Grove City, Florida - Drone","Hurricane Milton leaves homes badly damaged or completely washed away, boats crashed into houses, streets covered in sand. First look at Manitoba Key and Grove City after significant storm...",3392483,8:36,,ES,2024-10-11
14,video,Chopin - The Complete Nocturnes Remastered,"👉 Support Us On Patreon: https://bit.ly/4aUnkb5
🎧 Spotify: https://spoti.fi/3TUxzEQ
🎧 Apple Music: https://apple.co/3JkvGMJ
🎧 Tidal: https://bit.ly/4aRaZno
🎶 Buy The Music: https://b...",738662,1:57:51,,ES,2024-10-11
