,type,title,channelTitle,description,viewCount,publishDate,lengthText,country,date
0,video,Hurricane Milton: Tornado sweeps over bridge during meteorologist's live report,FOX 4 Now,Fox 4 Meteorologist Trent Aric was live on air as an apparent tornado sweeped over the Matlacha Bridge. Conditions deteriorated rapidly on Wednesday as Hurricane Milton approached.,6625197,2024-10-09,4:23,CA,2024-10-10
1,video,THE HATE ON MY MUSIC IS FORCED,JJ Olatunji,"KSI - Thick Of It (feat. Trippie Redd) 
Listen Now: https://lnk.to/Thickofit_Low

SEND CLIPS AND IDEAS USING #ksitntl #ksireacts on X, TikTok and Instagram. 

KSI X/Twitter Community: https://x.com...",1893639,2024-10-09,19:27,CA,2024-10-10
2,shorts_listing,Trending Shorts,,,,,,CA,2024-10-10
3,video,"NHL Highlights | Canadiens vs. Maple Leafs - October 9, 2024",SPORTSNET,The Montreal Canadiens hand the Toronto Maple Leafs their first shutout loss in nearly three years and hold onto a narrow 1-0 lead thanks to a Cole Caufield goal in the first period and behind...,101349,2024-10-09,10:19,CA,2024-10-10
4,video,Port Antonio,J. Cole,,1094039,2024-10-09,5:17,CA,2024-10-10
5,video,Multiple deaths confirmed after Hurricane Milton makes landfall in Florida,CBS New York,"Hurricane Milton made landfall as a Category 3 storm Wednesday, and it has already claimed lives. Rob Marciano, Lonnie Quinn, Dick Brennan and Alecia Reid report.",1228315,2024-10-09,9:54,CA,2024-10-10
6,video,"In Tampa & Sarasota, Hurricane Milton damage comes before landfall; Tornadoes hit South Florida, too",Sarasota Herald-Tribune,"Before Hurricane Milton made landfall in Siesta Key on Oct. 9, strong winds and rain from the storm impacted both Tampa and Sarasota. Tornadoes also left damage in Fort Myers and Broward County, too.",1179430,2024-10-09,10:01,CA,2024-10-10
7,video,Hurricane Milton: Fort Myers Beach Suspends Emergency Services as storm surge rises,FOX 4 Now,Hurricane Milton: Fort Myers Beach Suspends Emergency Services as storm surge rises,1131073,2024-10-09,4:03,CA,2024-10-10
8,video,K-DILAK AND BEDJINE (KONSEKANS OFFICIAL VIDEO),K-dilak Mesaje A,"https://www.instagram.com/kdilakmesajea?igsh=MTIxMWFvY2h2ZnMzMw%3D%3D&utm_source=qr

https://www.facebook.com/cadilacrapeur?mibextid=LQQJ4d
https://www.instagram.com/bedjineofficiel?igsh=MWdhYXJoZH...",629085,2024-10-09,5:14,CA,2024-10-10
9,video,Nintendo Sound Clock: Alarmo – Announcement Trailer,Nintendo of America,"Introducing Nintendo Sound Clock: Alarmo, an interactive alarm clock that’s out of the ordinary! Alarmo responds to your body’s movement with game sounds, so you can feel like you’re...",1407319,2024-10-09,4:48,CA,2024-10-10
10,video,There's ANOTHER hurricane coming...,Tfue,"HURRICANE RELIEF FUNDRAISER- 
https://joogsquad.myshopify.com/?srsltid=AfmBOooM_9M3CZxycB4MtAwXgB3AuZ47fDZS6g8Q0-9p3MuRJlK1D9rQ

Follow me on X for more👇
http://www.x.com/tfue
Watch me LIVE...",925855,2024-10-09,8:03,CA,2024-10-10
11,video,JENNIE - ‘Mantra’ Official MV Teaser,JENNIE,"JENNIE - ‘Mantra’ Official MV Teaser

OCTOBER 10 @ 8PM EDT
OCTOBER 11 @ 9AM KST

Pre-Save: https://jenn.ie

#JENNIE #Mantra #제니",1642251,2024-10-09,0:16,CA,2024-10-10
12,video,Mashup Mania Event | Clash On!,Clash of Clans,"Follow us on our Socials!
Twitter ► https://twitter.com/ClashofClans/
Instagram ► https://www.instagram.com/clashofclans 
Facebook ► https://www.facebook.com/ClashofClans 
TikTok ►...",103100,2024-10-10,1:26,CA,2024-10-10
13,video,DEJI REACTS TO KSI - Thick Of It (feat. Trippie Redd),Deji,"What did you think of KSI's new song, like for more content!

Deji TikTok : https://www.tiktok.com/@deji

DejiClip : https://www.tiktok.com/@dejiclip

Follow My Socials:
Instagram ►   / https://w...",1259343,2024-10-09,9:26,CA,2024-10-10
