,type,title,channelTitle,description,viewCount,publishDate,lengthText,country,date
0,video,CRISTIANO RONALDO NON VUOLE che tu VEDA QUESTO!🤮,MEMEofficial-ITA,"In questo short vi parlo di una pubblicità che ha fatto Cristiano Ronaldo che è talmente brutta che vorrebbe che noi ce ne dimenticassimo :0

-------------------------🔥I MIEI SOCIAL🔥-------...",816512,2024-10-13,0:38,IT,2024-10-16
1,video,QUANDO LAVORI AL SUPERMERCATO pt.2 #danielecondotta #comedy,Daniele Condotta,,395417,2024-10-15,0:47,IT,2024-10-16
2,video,Chi era più difficile da affrontare per BONUCCI e BARZAGLI? 🧱,La Gazzetta dello Sport,,245988,2024-10-14,1:00,IT,2024-10-16
3,video,Shiva - Pluh (Official video),SHIVA,"Ascolta ora su Spotify “Pluh” : https://shiva.bio/pluhspotify

Ascolta ora Milano Angels: https://shiva.bio/milanoangels

ISCRIVITI AL CANALE: https://www.youtube.com/channel/UC4G1i2ZO5z6p5vBGc...",127289,2024-10-15,2:59,IT,2024-10-16
4,video,The NEW fastest Ducati ever! - PANIGALE V4S 2025🔥,Luca Salvadori,"Introducing the new v4s 2025, the fastest new production motorcycle ever built by Ducati, with an exclusive review, and most importantly in my own style.
#ducati #v4s2025 #panigale  

MY ACTION...",329796,2024-10-15,14:29,IT,2024-10-16
5,video,MY HEIGHT vs MrBEAST CREW 🙈📏,Celine Dept,Wow @MrBeast,12102665,2024-10-14,0:22,IT,2024-10-16
6,video,La fregatura delle CASTAGNE,CARTONI MORTI,"È autunno, tempo di castagne. 
Il Sommelier si aggira per le strade e decide di provare questa pazzia delle caldarroste. Non finisce bene.

TUTTO 
► https://www.cartonimorti.it

INSTAGRAM...",452378,2024-10-15,2:22,IT,2024-10-16
7,video,APPLE ha FALLITO!🤮,MEMEofficial-ITA,"In questo short vi parlo di come Apple ha fallito con i loro nuovi iPhone 16 in quanto non sono riusciti a mettere funzioni nuove :/

-------------------------🔥I MIEI SOCIAL🔥-----------------...",327483,2024-10-14,0:33,IT,2024-10-16
8,video,Highlights: Italia-Israele 4-1 | Nations League 2024/25,FIGC Azzurri e Azzurre,"A Udine gli Azzurri di Spalletti trovano il vantaggio in chiusura di primo tempo grazie al rigore trasformato da Retegui. A inizio ripresa Di Lorenzo raddoppia, ma gli ospiti accorciano le...",92435,2024-10-15,2:03,IT,2024-10-16
9,video,TIPI DI PERSONE SU DRESS TO IMPRESS,Eleonora Olivieri,,539352,2024-10-12,0:32,IT,2024-10-16
10,video,Cool Parenting Gadget Against Mosquitos! 🦟👶,TheSoul Music Family,"💚🧡 Click like, share, and subscribe to TheSoul Music Family 👍 
🎵 Music by TheSoul Sound: https://thesoul-sound.com/ 
#shorts #music #newmusic
--------------- 
⚠️This video...",13731290,2024-10-14,0:21,IT,2024-10-16
11,video,Get 1 Million Coins in Hay Day,Hay Day,"Best. Farm. Ever. Welcome to Hay Day, the most popular farming game on mobiles and tablets, number one in 122 countries.

Get Hay Day ►► https://link.haydaygame.com/

Learn the lay of the...",1113675,2024-10-15,0:57,IT,2024-10-16
