,type,title,channelTitle,description,viewCount,publishDate,lengthText,country,date
0,video_listing,Reneuv',,,,,,FR,2024-10-16
1,video,"ITZY ""GOLD"" M/V",JYP Entertainment,"ITZY ""GOLD"" M/V

ITZY ""GOLD""
https://ITZY.lnk.to/GOLD

🌟 ALBUM RELEASE 
 2024.10.15 TUE 6PM (KST) | 5AM (EDT)

[ITZY Official]
▶ https://www.youtube.com/c/ITZY
▶ https://www.instagram.com/it...",4395241,2024-10-15,3:20,FR,2024-10-16
2,video,Get 1 Million Coins in Hay Day,Hay Day,"Best. Farm. Ever. Welcome to Hay Day, the most popular farming game on mobiles and tablets, number one in 122 countries.

Get Hay Day ►► https://link.haydaygame.com/

Learn the lay of the...",1113675,2024-10-15,0:57,FR,2024-10-16
3,shorts_listing,Trending Shorts,,,,,,FR,2024-10-16
4,video,"ÉNORME CACHE-CACHE dans une VILLE du DÉSERT ! (Ft. Elsa, Raska, Doigby et Nicotine)",Michou,"Salut ! Aujourd’hui nouvelle vidéo ! Dans cette video on s’est fait un cache cache géant en espagne avec Doigby, Raska, Elsa et Nicotine
Un enorme cache cache avec des comediens pour...",1571864,2024-10-14,37:15,FR,2024-10-16
5,video,ON TESTE DES CAMPINGS notés 1 ÉTOILE !,Amixem,"On va dans des campings 1 étoile avec Thomas et il se passe des dingueries...
En collaboration commerciale avec Ultra Premium Direct -
Avec mon code AMIXEM, bénéficier de -25% pendant 48h...",2623513,2024-10-14,40:35,FR,2024-10-16
6,video,"Maissane (Les 50) : Emine, Dubaï, Kevin Guedj, The Cerveau, Greg Bebew, Les Cinquante",Télé Star,"Bienvenue dans le sixième épisode de La Roulette, la nouvelle émission signée Télé Star. Le concept : l'invité doit répondre aux questions cash. S'il souhaite éviter une question,...",100897,2024-10-15,38:09,FR,2024-10-16
7,video,Incohérent ? Trop Gamin ? - Dragon Ball DAIMA épisode 1,LeChefOtaku,"Découvrez les jeux Topi Games : https://topi-games.com/fr/catalogue/

-----------------------------------------------------------------------

Seconde chaîne : https://www.youtube.com/channel/UCr...",136869,2024-10-15,29:58,FR,2024-10-16
8,video,JENNIE - Mantra MV Rehearsal,JENNIE,"MV Rehearsal for “Mantra” by JENNIE out now: https://jennie.lnk.to/mantra

Follow JENNIE -

Instagram: https://www.instagram.com/jennierubyjane
TikTok: https://www.tiktok.com/@jennierubyjane...",3089548,2024-10-15,2:34,FR,2024-10-16
9,video,KISS OF LIFE (키스오브라이프) 'Get Loud' Official Music Video,KISS OF LIFE,"KISS OF LIFE (키스오브라이프) 'Get Loud' Official Music Video
#KISSOFLIFE #키스오브라이프 #Get_Loud
-
KISS OF LIFE (키스오브라이프) 3rd Mini Album [Lose Yourself] is OUT...",2458043,2024-10-15,3:05,FR,2024-10-16
10,video,"JE RÉAGIS À ""KAIZEN"" D'INOXTAG",Mike Horn,"🇫🇷 Cette année, Inoxtag a relevé un défi extraordinaire en gravissant le plus haut sommet du monde, le Mont Everest, et a partagé son aventure à travers son documentaire ""Kaizen""....",849939,2024-10-14,20:28,FR,2024-10-16
11,video,"Burnice Character Demo - ""A Burnice Special for the Brokenhearted"" | Zenless Zone Zero",Zenless Zone Zero,"""There's nothing a Burnice Nitro-Fuel Special can't solve!""
""What if there is?""
""Then have a few more~""

—Welcome to New Eridu!—
PS5™/iOS/Android/PC | Version 1.2 ""Tour de Inferno"" of...",1073378,2024-10-15,2:19,FR,2024-10-16
12,video,"Le PLUS ou MOINS ? ( Nino Arial, Gwenn, Romain Monti ) #7",Morgan VS,Merci à Ornikar d'avoir sponsorisé cette vidéo ! Profitez de -50€ sur le pack permis en boîte auto ou en boîte manuelle (avec ou sans code) jusqu'au 17 octobre avec ce lien et le code...,98847,2024-10-15,30:35,FR,2024-10-16
13,video,UNE CAMÉRA DANS UN ASILE ABANDONNÉ (PENDANT 30 JOURS),LE GRAND JD,"➜Instagram : https://www.instagram.com/legrandjd
➜Facebook: http://www.facebook.com/legrandjd
➜Twitter : http://www.twitter.com/legrandjd


D'autres vidéos avec ce concept 
https://youtube...",491965,2024-10-14,19:50,FR,2024-10-16
14,video,Elle nous a quittés 💔,elsamakeup,Merci infiniment ❤️‍🩹,73765,2024-10-15,29:37,FR,2024-10-16
