,type,title,channelTitle,description,viewCount,publishDate,lengthText,country,date
0,video_listing,yungatita,,,,,,US,2024-10-10
1,video,Hurricane Milton: Tornado sweeps over bridge during meteorologist's live report,FOX 4 Now,Fox 4 Meteorologist Trent Aric was live on air as an apparent tornado sweeped over the Matlacha Bridge. Conditions deteriorated rapidly on Wednesday as Hurricane Milton approached.,6531739,2024-10-09,4:23,US,2024-10-10
2,video,Port Antonio,J. Cole,,1018056,2024-10-09,5:17,US,2024-10-10
3,shorts_listing,Trending Shorts,,,,,,US,2024-10-10
4,video,Multiple deaths confirmed after Hurricane Milton makes landfall in Florida,CBS New York,"Hurricane Milton made landfall as a Category 3 storm Wednesday, and it has already claimed lives. Rob Marciano, Lonnie Quinn, Dick Brennan and Alecia Reid report.",1202619,2024-10-09,9:54,US,2024-10-10
5,video,"In Tampa & Sarasota, Hurricane Milton damage comes before landfall; Tornadoes hit South Florida, too",Sarasota Herald-Tribune,"Before Hurricane Milton made landfall in Siesta Key on Oct. 9, strong winds and rain from the storm impacted both Tampa and Sarasota. Tornadoes also left damage in Fort Myers and Broward County, too.",1153139,2024-10-09,10:01,US,2024-10-10
6,video,Hurricane Milton: Fort Myers Beach Suspends Emergency Services as storm surge rises,FOX 4 Now,Hurricane Milton: Fort Myers Beach Suspends Emergency Services as storm surge rises,1129128,2024-10-09,4:03,US,2024-10-10
7,video,Nintendo Sound Clock: Alarmo – Announcement Trailer,Nintendo of America,"Introducing Nintendo Sound Clock: Alarmo, an interactive alarm clock that’s out of the ordinary! Alarmo responds to your body’s movement with game sounds, so you can feel like you’re...",1388800,2024-10-09,4:48,US,2024-10-10
8,video,"Hurricane Milton makes landfall on Florida's Gulf coast, storm surge warnings in effect",NBC News,"NBC News' Angie Lassman provides an updated forecast, Stephanie Gosk reports from Tampa, and a Sarasota County official joins News NOW as Hurricane Milton makes landfall.

» Subscribe to NBC...",2853499,2024-10-09,21:07,US,2024-10-10
9,video,Southwest Florida Weather Forecast,WINK News,"Oct 9, 2024",677841,2024-10-09,9:05,US,2024-10-10
10,video,Destiny 2 Dungeon Trailer | Vesper’s Host,Destiny 2,"Investigate unknown transmissions intercepted from a derelict Braytech station. New Dungeon: Vesper’s Host.

Available October 11, 2024, with The Final Shape’s Dungeon Key.

🌌 https://bung.i...",378667,2024-10-09,0:52,US,2024-10-10
11,video,JENNIE - ‘Mantra’ Official MV Teaser,JENNIE,"JENNIE - ‘Mantra’ Official MV Teaser

OCTOBER 10 @ 8PM EDT
OCTOBER 11 @ 9AM KST

Pre-Save: https://jenn.ie

#JENNIE #Mantra #제니",1572938,2024-10-09,0:16,US,2024-10-10
12,video,Latest details on Hurricane Milton with landfall expected in Florida,CBS News,"Mass evacuations are underway in Florida as Hurricane Milton moves across the Gulf Coast toward the state. CBS News correspondent Tom Hanson reports on the scene in Florida, Sarasota County...",890423,2024-10-09,10:24,US,2024-10-10
13,video,"Hurricane Milton Evacuation CHAOS Gas Lines, Last Minute Scramble!",Jonathan Petramala,"Hurricane Helene's wrath is fresh, but a new storm, Milton, threatens!  With no time to rest, THOUSANDS scramble to evacuate Tampa Bay.  I take you inside the evacuations, the gas shortages...",3692055,2024-10-08,8:53,US,2024-10-10
14,video,DEJI REACTS TO KSI - Thick Of It (feat. Trippie Redd),Deji,"What did you think of KSI's new song, like for more content!

Deji TikTok : https://www.tiktok.com/@deji

DejiClip : https://www.tiktok.com/@dejiclip

Follow My Socials:
Instagram ►   / https://w...",1246000,2024-10-09,9:26,US,2024-10-10
15,video,GO? NO! STOP! | Chained Together - Part 8,Markiplier,"We're back again from the past in the future to get even closer to the finish line!

LISTEN TO DISTRACTIBLE ►► https://open.spotify.com/show/2X40qLyoj1wQ2qE5FVpA7x

Edited By ►  @Diceroll...",845025,2024-10-09,35:43,US,2024-10-10
16,video,"so, i tried to watch the Minions movie...",Alex Meyers,"Go to https://surfshark.com/meyers for 4 extra months of Surfshark

★☆★ Help Me Get to 4,000,000 Subscribers! http://bit.ly/1Iqsdaq

★☆★Buy some Merch:  alexmeyers.teemill.com
...",236603,2024-10-09,16:38,US,2024-10-10
17,video,Why we CAN'T EVACUATE for Hurricane Milton!,Adventures with Becky,"#preparingforhurricanemilton #floridahurricaneseason #floridaadventures 

Love adventures and seeing gorgeous travel spots that are free, cheap, or budget friendly? Then stick with me as I...",614051,2024-10-09,14:23,US,2024-10-10
18,video,The Marías: Tiny Desk Concert,NPR Music,"This Sept. 15 to Oct. 15, NPR Music celebrates artists from all corners of Latinidad with an 'El Tiny' takeover.

Anamaria Sayre | October 9, 2024
Fresh off the release of its latest album...",129617,2024-10-09,19:51,US,2024-10-10
