,type,title,description,viewCount,lengthText,country,date
0,video,Warm Morning Jazz Music at Fall Coffee Shop Ambience 🍂 Relaxing Jazz Instrumental Music for Studying,"Warm Morning Jazz Music at Fall Coffee Shop Ambience 🍂 Relaxing Jazz Instrumental Music for Studying

👉️🎼 Let's experience the great music on Spotify of Relax Jazz Cafe. Register...",156611,11:54:57,IT,2024-10-13
1,shorts_listing,Shorts,,,,IT,2024-10-13
2,video_listing,Trending,,,,IT,2024-10-13
3,shorts_listing,Shorts,,,,IT,2024-10-13
4,video,Surat Al Khaf Maher Al Muaiqly | سورة الكهف الشيخ ماهر المعيقلي,"Surat Al Khaf Maher Al Muaiqly | سورة الكهف الشيخ ماهر المعيقلي

اشترك في قناة الشيخ ماهر المعيقلي الرسمية:
https://goo.gl/gdYtKd...",577675,11:49:33,IT,2024-10-13
5,video,ROSALIA Takes on BIG OBUNGA in EPIC Geometry Dash Emoji Gmod Showdown! pt.15,"#yoshie #nextbots #nextbot #SkibidiToilet #nightmare #munci #obunga 
 
👘 Garry's Mod

👘 ROSALIA Takes on BIG OBUNGA in EPIC Geometry Dash Emoji Gmod Showdown! pt.15

👘 Subscribe: https://w...",1752,8:13,IT,2024-10-13
6,video,"Ed Sheeran, Bruno Mars, Dua Lipa, Adele, Maroon 5, Rihanna, The Weeknd - Pop music 2024","Ed Sheeran, Bruno Mars, Dua Lipa, Adele, Maroon 5, Rihanna, The Weeknd - Pop music 2024
Ed Sheeran, Bruno Mars, Dua Lipa, Adele, Maroon 5, Rihanna, The Weeknd - Pop music 2024
https://youtu.be/ZPRn...",506719,3:00:56,IT,2024-10-13
7,video,Enchanting Autumn Forests with Beautiful Piano Music🍁4K Autumn Ambience & Fall Foliage #20,"Enchanting Autumn Forests with Beautiful Piano Music🍁4K Autumn Ambience & Fall Foliage #20

🍂 Welcome to ""Melodies Healing"" your ultimate destination for soothing piano melodies that...",744761,11:55:00,IT,2024-10-13
8,video,Detroit Lions vs. Dallas Cowboys FULL GAME | NFL 2014 Season Wild Card,"With NFL+, catch all the action and stream live local and primetime games on mobile devices all the way from the regular season through the playoffs. Visit Plus.NFL.com to learn more. Subscribe...",78134,1:54:04,IT,2024-10-13
9,video,🔥 Cozy Fireplace 4K (12 HOURS). Fireplace with Crackling Fire Sounds. Fireplace Burning 4K,"The weather outside is getting colder every day and the best way to warm up is to make a chocolate cocktail and sit by the cozy fireplace. Enjoy guys!

🔥 Campfire in the Winter Forest (10...",219096,11:54:56,IT,2024-10-13
10,video,[GMOD]Various banana cats?/色んなバナナ猫？#gmod #bananacat,"Hi!
This is the first compilation in a while!
Thank you for always watching my videos! If you like it, please subscribe to my channel and rate it highly!

こんにちは！
今回は久しぶり...",320,13:57,IT,2024-10-13
11,video,"Voix paisible Ayat Kursi 7x, Sourate Yasin, Ar Rahman, Waqiah, Al Mulk, Kahfi, Ikhlas, Falaq, An Nas","Voix paisible Ayat Kursi 7x, Sourate Yasin, Ar Rahman, Waqiah, Al Mulk, Kahfi, Ikhlas, Falaq, An Nas Reciter by Alaa Yaseer

#quranrecitation  #peacefulrecitation  #quran #recitationofquran...",389788,11:55:00,IT,2024-10-13
