,type,title,description,viewCount,lengthText,isLive,badges,country,date
0,video,"Peaceful Autumn Cozy Cabin 🍂 Soft Rain and Fireplace Sounds for Sleep, Relaxation, or Study","Peaceful Autumn Cozy Cabin 🍂 Soft Rain and Fireplace Sounds for Sleep, Relaxation, or Study

Unwind and relax with gentle rain, jazz, and fireplace in a cozy autumn cabin. Let the warm,...",220388,11:55:00,,,CA,2024-10-15
1,shorts_listing,Shorts,,,,,,CA,2024-10-15
2,video_listing,Trending,,,,,,CA,2024-10-15
3,shorts_listing,Shorts,,,,,,CA,2024-10-15
4,video,🎉 BIRTHDAY CELEBRATION! 🤠 Stephen A. & Shannon Sharpe UNLEASH on Dallas Cowboys! | First Take,"On First Take, Stephen A. Smith, Shannon Sharpe and Dan Orlovsky join to discuss all things Dallas Cowboys after their loss to the Detroit Lions.
0:00 Here comes the sad Cowboys fans!
2:30...",738258,20:34,,,CA,2024-10-15
5,video,Auughh Family vs Towers Gmod Nextbot,#garrysmod #nextbots #nextbot #gmod #nextbotchasing #chasing #skibidibopyesyesyes #backrooms,982,8:01,,,CA,2024-10-15
6,video,🔴 LIVE! #Scoobtober Scooby-Doo Monster Marathon 👻 Watch FULL EPISODES! | @wbkids,"It’s officially spooky season 👻 which means it's time for… Scoobtober! 🎃 

We are treating you to a marathon of seemingly endless episodes and a movie with Scooby-Doo! and the gang!...",1668,LIVE,True,['LIVE'],CA,2024-10-15
7,video,Airport Dream House Ep.2 - Our First Major Concrete Pour!,"Welcome to the Bald Eagle Airfield (identifier 67FL), the airstrip where we are building my new home! In today's video we began the first of many concrete pours! 
To check out all Cleetus merch,...",1279261,1:37:19,,,CA,2024-10-15
8,video,"Relaxing Sleep Music for Meditation, Yoga, Stress Relief and Relaxation by Yuriy Melnyk","Trusted by NASA neuroscientists, this 7-minute soundwave enhances your relaxation and mental clarity...  
Learn more here 👉 https://bit.ly/brainwaveactivation

Experience profound sleep...",20137,3:00:11,,,CA,2024-10-15
9,video,World's Spiciest Cooking Challenge,"Loser has to eat the world's spiciest pepper. Watch to the end to see who it is!

Thanks to Sean + Esther + @FirstWeFeast for making this happen :)

And thanks to all the following for helping...",2434426,25:38,,,CA,2024-10-15
10,video,Too Much Nextbots Vs Towers! ( Part 3 ) - Garry's Mod,,731,10:48,,,CA,2024-10-15
11,video,THE LAMBORGHINI I GAVE MY GIRLFRIEND IS UNDRIVEABLE,"Today the Lamborghini Urus I gave my girlfriend has broken and we are attempting to fix it. We also transform the Nissan GTR with a brand new wrap!

⬇️ FOR MY MAIN CHANNEL ⬇️
https://www.yo...",1893661,45:14,,,CA,2024-10-15
12,video,Down to the wire in New York!! Bills vs. Jets | NFL 2024 Season Week 6,"Check out our other channels:
NFL Mundo https://www.youtube.com/mundonfl
NFL Brasil https://www.youtube.com/c/NFLBrasilOficial
NFL UK https://www.youtube.com/channel/UCVe0dAja_vZCmvfHXjtdRQA...",47316,13:33,,,CA,2024-10-15
13,video,Halloween lofi radio  🎃 - spooky beats to get chills to,"🎼 | Listen on Spotify, Apple music and more
→  https://fanlink.tv/Lofi-Girl-Halloween-2024

🎃 Welcome to Lofi Girl's Halloween radio! We hope you have a spooktacular time here

👻...",3048,LIVE,True,['LIVE'],CA,2024-10-15
14,video,ANNE HATHAWAY IS IN TROUBLE ... apologizes for rude interview,"Download Seat Away for free now via this link or QR code https://tinyurl.com/y7rdh2f7 and receive 3 hours of unlimited lives and 500 free coins! 🚀 #SeatAway

Anne Hathaway recently responded...",97887,11:35,,,CA,2024-10-15
15,video,A Side of Canada The Media Won't Show You!,"A Side of Canada The Media Won't Show You is a video of me exploring the unseen parts of Toronto, Canada. It's my first trip to this side of North America, and I show you what life is like...",329116,28:52,,,CA,2024-10-15
16,video,Is GameStop Retro a SCAM?,"Subscribe for more! https://www.youtube.com/austinevans
TikTok: https://www.tiktok.com/@austintechtips
Instagram: https://instagram.com/austinnotduncan
Twitter: https://twitter.com/austinnotduncan...",291009,25:22,,,CA,2024-10-15
17,video,BEST TAIWANESE STREET FOOD in TAIPEI for 100hrs,"Use my code DOOBY3 to get $3 off your data plan! https://try.airalo.com/Doobydoap 

If you know me, I love street food. There's something about eating outside that makes food taste even better...",182552,53:12,,,CA,2024-10-15
18,video,6 Grandmas vs 1 Fake | Odd One Out (ft. Duncan Joseph),"Apply for our new series “AITA? irl” here: https://bit.ly/4eyMe1o

Hey you 👈 Wanna be in a Jubilee video? https://bit.ly/be-in-a-video

LET’S BE FRIENDS
Instagram: https://www.instagram.co...",2092965,22:32,,,CA,2024-10-15
19,video,The Rise and Fall of White Boy Carl: Part 1 | Shameless,"""He sees past my skin into my dark black soul."" 
 
Subscribe now: 
https://www.youtube.com/@shameless 
 
Watch More:  
https://www.warnerbros.com/tv/shameless 

Nobody screws with the Gallaghers....",975937,32:15,,,CA,2024-10-15
20,video,7 Days Exploring An Underground City,"This salt mine is the coolest underground city I’ve ever seen
Get Zaxbys MrBeast Box while you still can - Chicken Fingerz™, cheddar bites, fries, double Texas toast, signature sauces,...",50344838,20:35,,,CA,2024-10-15
21,video,Skull Nextbot Gmod,"Thanks for waching
#garrysmod #nextbots #gmod #gmodnextbots #shortsvideo #babymonkey #funny #fyp #games",425,12:24,,,CA,2024-10-15
22,video,Third Trump assassination attempt thwarted,"US Police say they have prevented an alleged third assassination attempt on former president Donald Trump in California.

A man armed with guns and fake passes was stopped by police at his...",1866112,3:29,,,CA,2024-10-15
