,type,title,channelTitle,description,viewCount,publishDate,lengthText,country,date
22,video,Latto - Brokey (Official Video),Latto,"Latto - Brokey (Official Video)

Listen to Sugar Honey Iced Tea:
https://latto.lnk.to/sugarhoneyicedtea

Subscribe for more official content from Latto:
https://latto.lnk.to/YouTubeSubscribe...",1188826,2024-10-12,5:08,CA,2024-10-13
23,video,Ilona Maher Joins Brittany Broski’s Royal Court,Royal Court,"SEASON 2 EPISODE 5 LETS HEAR IT FOR S2EP5!!!!!

Thank you SO much to literal olympian ilona for taking a break from ballroom dancing to join me in the realm ❤️🥇🏰

and as always thanks...",451926,2024-10-12,25:11,CA,2024-10-13
24,video,The Scariest Night Of My Life,Jordan Matter,Salish and Hudson made me think our house is actually haunted! Did she get this idea from the Royalty Family? I don't know but it was the weirdest night of my life. Sign up for our FREE Team...,3658879,2024-10-12,25:48,CA,2024-10-13
25,video,Minecraft Future: THE MOVIE,Joll and Conk,"Joll, Conk, Golem, and Kibble are trapped in Minecrafts FUTURE, as Planet Hunters. Will they make it home?

Voice Actors - @TabiMC 

Thanks to Star Chile for the Dyna skin! 

Music:

Music...",747557,2024-10-12,46:31,CA,2024-10-13
26,video,FORTNITEMARES Is FINALLY Here!,TG Plays,"Fortnite Fortnitemares Update Chapter 5, Season 4 gameplay with Typical Gamer!
❤️ SUBSCRIBE & CLICK THE BELL! 🔔

MY GAMES in FORTNITE!
🔴 PLAY SUPER RED vs BLUE ► 2786-2114-8349...",1024702,2024-10-12,19:59,CA,2024-10-13
27,video,XG - IYKYK (Official Music Video),XG,"XG
IYKYK (from XG’s 2nd Mini Album ‘AWE’)
2024.10.11 FRI

Streaming/Download 
🎧https://XG.lnk.to/IYKYK

Music Video
ET             5AM
JST/KST  6PM

—-------------

XG
2nd Mini Album...",2748673,2024-10-11,3:10,CA,2024-10-13
28,video,Ohio State at Oregon | Highlights | Big Ten Football | 10/12/2024,Big Ten Network,"00:00:00 - 1st Quarter
00:01:09 - 2nd Quarter
00:02:14 - 3rd Quarter
00:02:31 - 4th Quarter

#B1GFootball 
#ohiostatebuckeyes 
#oregonducks  
#bigtenfootball 

Watch live games and explore...",52955,2024-10-12,3:10,CA,2024-10-13
29,video,진 (Jin) ‘슈퍼 참치 (Super Tuna)’ Special Video,BANGTANTV,"#Jin #진 #슈퍼참치 #SUPERTUNA
🐟 Listen now: http://jin.lnk.to/SuperTuna


Connect with BTS: 
https://ibighit.com/bts 
http://twitter.com/BTS_bighit
http://twitter.com/BTS_twt 
http://www.fa...",4040948,2024-10-11,2:11,CA,2024-10-13
30,video,Aphmau Joins Sprunki,Aphmau Shuki,"Aphmau Plays INCREDIBOX SPRUNKI!!
💜 Come take a look at my merch! 💜 https://aphmeow.com/
► Instagram: https://www.instagram.com/aphmau_ 

====. * ･ ｡ﾟ☆ [Friends!] ☆｡ﾟ･*...",1066990,2024-10-12,16:10,CA,2024-10-13
31,video,CHILE vs. BRASIL [1-2] | RESUMEN | ELIMINATORIAS SUDAMERICANAS | FECHA 9,CONMEBOL,"#Chile #Brasil #eliminatoriassudamericanas #CreeEnGrande #CONMEBOL 

⭐🇧🇷 Vitória do #Brasil nas #EliminatoriasSudamericanas! 2-1, como visitante, contra o Chile

Suscríbete I Inscreva-se...",4264641,2024-10-11,10:08,CA,2024-10-13
