,type,title,description,viewCount,lengthText,isLive,country,date
0,video,Autumn Vibes Mix 🎃 Chill Mix to Calm Down,"The trees are losing their leaves and the days are getting shorter, but there is nothing more special cozy than a warm day in autumn 🍂 Grab a coffee or tea and enjoy this mix 🌅

🔔Subscribe...",1511523,2:39:12,,FR,2024-10-13
1,shorts_listing,Shorts,,,,,FR,2024-10-13
2,video_listing,Trending,,,,,FR,2024-10-13
3,shorts_listing,Shorts,,,,,FR,2024-10-13
4,video,"chilling ~ 90's r&b/soul/playlist 🎶 Mary J. Blige, Akon, Nelly, Ne-Yo, Usher","✔️""Step into a world where soulful rhythms and emotive lyrics reign supreme with our dedicated YouTube channel celebrating the rich tapestry of R&B and soul music from the 90s and 2000s....",2235338,1:23:07,,FR,2024-10-13
5,video,[GMOD]Various banana cats?/色んなバナナ猫？#gmod #bananacat,"Hi!
This is the first compilation in a while!
Thank you for always watching my videos! If you like it, please subscribe to my channel and rate it highly!

こんにちは！
今回は久しぶり...",320,13:57,,FR,2024-10-13
6,video,Lofi Work Space 📂 Deep Focus Study/Work Concentration [chill lo-fi hip hop beats],"Lofi Work Space 📂 Deep Focus Study/Work Concentration [chill lo-fi hip hop beats]
#Lofi #DeepFocus #Concentration #Daily #Study #Work #Leaf #LofiGirl #Chill #ChillVillage
 Subscribe Chill...",1283269,11:54:56,,FR,2024-10-13
7,video,Chopin - Relaxing Classical Music,"🎵 Buy the MP3 album on the Halidon Music Store: https://bit.ly/2AmTcYZ
🎧 Listen to our playlist on Spotify: http://bit.ly/ChopinEssentialClassics

💿 Order ""Chopin: Classical Piano...",25428740,2:41:00,,FR,2024-10-13
8,video,"Music for Studying , Focus Music - 12 Hours of Ambient Study Music to Concentrate & Focus Memory #21","Music for Studying , Focus Music - 12 Hours of Ambient Study Music to Concentrate & Focus Memory #21

Enjoy these 12 of deep focus music to improve concentration while studying with a beautiful...",239487,10:10:12,,FR,2024-10-13
9,video,HOT ONES : Gilles Lellouche finit en larmes,"Truc de ouf à quel point cette rivalité avec Pierre Niney les suit partout. Truc de ouf aussi d'avoir laissé Gilles seul face au Pepper X, mais ça c'était une idée de Kyan.

Basé sur...",726867,37:01,,FR,2024-10-13
