,type,title,description,viewCount,lengthText,isLive,country,date
0,video,"Ed Sheeran, Bruno Mars, Dua Lipa, Adele, Maroon 5, Rihanna, The Weeknd - Pop music 2024","Ed Sheeran, Bruno Mars, Dua Lipa, Adele, Maroon 5, Rihanna, The Weeknd - Pop music 2024
Ed Sheeran, Bruno Mars, Dua Lipa, Adele, Maroon 5, Rihanna, The Weeknd - Pop music 2024
https://youtu.be/ZPRn...",388134,3:00:56,,IT,2024-10-11
1,shorts_listing,Shorts,,,,,IT,2024-10-11
2,video_listing,Trending,,,,,IT,2024-10-11
3,shorts_listing,Shorts,,,,,IT,2024-10-11
4,video,"Music for Studying , Focus Music - 12 Hours of Ambient Study Music to Concentrate & Focus Memory #21","Music for Studying , Focus Music - 12 Hours of Ambient Study Music to Concentrate & Focus Memory #21

Enjoy these 12 of deep focus music to improve concentration while studying with a beautiful...",227172,10:10:12,,IT,2024-10-11
5,video,Sonic Tapes Family Vs Towers (Part 2) - Garry's Mod,"Sonic tapes family vs towers in garry's mod (Part 2)
Hi! My Name is Gmodsuu
Thank for watching, I hope you enjoy this video!!
#nextbot #gmod #garrysmod",602,1:01:20,,IT,2024-10-11
6,video,San Francisco 49ers vs. Seattle Seahawks Game Highlights | NFL 2024 Season,"Check out our other channels:
NFL Mundo https://www.youtube.com/mundonfl
NFL Brasil https://www.youtube.com/c/NFLBrasilOficial
NFL UK https://www.youtube.com/channel/UCVe0dAja_vZCmvfHXjtdRQA...",766445,13:21,,IT,2024-10-11
7,video,Autumn Corner 🍂 Chill vibe at Cafe Corner ☕ relax / work / study [ Lofi Hip Hop - Lofi Cafe ],"🎼 | Healing Me: https://open.spotify.com/playlist/6enbrkLFAnKamYgMEggo8Y
Autumn Corner 🍂 Chill vibe at Cafe Corner ☕ relax / work / study [ Lofi Hip Hop - Lofi Cafe ]
----------------------...",192898,11:44:29,,IT,2024-10-11
8,video,"Hurricane Milton devastates the Manasota Key and Grove City, Florida - Drone","Hurricane Milton leaves homes badly damaged or completely washed away, boats crashed into houses, streets covered in sand. First look at Manitoba Key and Grove City after significant storm...",3394141,8:36,,IT,2024-10-11
9,video,Billie Eilish Songs Playlist 2024 (Lyrics) The Best Of Billie Eilish ~ Greatest Hits Full Album 2024,"Billie Eilish Songs Playlist 2024 (Lyrics) ~ The Best Of Billie Eilish 2024 ~ Greatest Hits Full Album 2024
https://youtu.be/rsiJ3rfClfc

From the bottom of my heart, thank you for taking the...",1859685,1:51:55,,IT,2024-10-11
10,video,JENNIE - You And Me NCT 127 엔시티 127 'Fact Check (불가사의; 不可思議)' 하늘 아래 뜬 두 개의 태양 - 순둥이라 불러다오 #3,Livestream,402,4:00:36,,IT,2024-10-11
11,video,"chilling ~ 90's r&b/soul/playlist 🎶 Mary J. Blige, Akon, Nelly, Ne-Yo, Usher","✔️""Step into a world where soulful rhythms and emotive lyrics reign supreme with our dedicated YouTube channel celebrating the rich tapestry of R&B and soul music from the 90s and 2000s....",2158191,1:23:07,,IT,2024-10-11
12,video,"Fall Asleep In Less Than 3 Minutes ★︎ Healing of Stress, Anxiety and Depression ★︎ MELATONIN RELEASE","Fall Asleep In Less Than 3 Minutes ★︎ Healing of Stress, Anxiety and Depression ★︎ MELATONIN RELEASE

🎵 Tracking information:
Composer: Relaxation & Deep Healing

This music is meant...",477412,11:54:58,,IT,2024-10-11
13,video,RAINING IN JAPAN ☔ Rainy Lofi Songs To Make You Calm Down And Relax Your Mind ☔ Pluviophile Lofi,"#lofi #lofipluviophile #pluviophilelofi #lofirain #rainlofi #lofijapanese #japaneselofi #lofijapan #japanlofi 
RAINING IN JAPAN ☔ Rainy Lofi Songs To Make You Calm Down And Relax Your Mind...",656,LIVE,True,IT,2024-10-11
