,type,title,description,viewCount,lengthText,isLive,badges,country,date
0,video,"Sweet Autumn Jazz Tunes 🍂 Rooftop Cafe Shop Ambience ~ Calm and Relaxing Music for Work, Study","Sweet Autumn Jazz Tunes 🍂 Rooftop Cafe Shop Ambience ~ Calm and Relaxing Music for Work, Study
🎧 Listen on Spotify: https://spoti.fi/3Xy2tWv

🎧 Sweet jazz melodies resound on the cafe's...",426621,3:38:03,,,NO,2024-10-13
1,shorts_listing,Shorts,,,,,,NO,2024-10-13
2,video_listing,Trending,,,,,,NO,2024-10-13
3,video,The Subway Surfers of New York,"Patreon Exclusive Clips: https://www.patreon.com/tommygmcgee
Big Dog Merch: https://tommygmcgee.com/

NLN Squad: 
Main Guy ""James"" : @c.mvrdaaa

Terrell: @terrellismail   
Wish him well on...",915680,27:06,,,NO,2024-10-13
4,video,Vice President Kamala Harris on the Howard Stern Show (FULL INTERVIEW),"Howard Stern talks to Vice President Kamala Harris in a live, exclusive interview on SiriusXM.

0:00 - Howard Welcomes Vice President Kamala Harris 
2:33 - Election Stakes & Trump Controversies...",1125388,1:04:30,,,NO,2024-10-13
5,video,[GMOD]Various banana cats?/色んなバナナ猫？#gmod #bananacat,"Hi!
This is the first compilation in a while!
Thank you for always watching my videos! If you like it, please subscribe to my channel and rate it highly!

こんにちは！
今回は久しぶり...",332,13:57,,,NO,2024-10-13
6,video,"Music for Studying , Focus Music - 12 Hours of Ambient Study Music to Concentrate & Focus Memory #21","Music for Studying , Focus Music - 12 Hours of Ambient Study Music to Concentrate & Focus Memory #21

Enjoy these 12 of deep focus music to improve concentration while studying with a beautiful...",239506,10:10:12,,,NO,2024-10-13
7,video,synthwave radio 🌌 beats to chill/game to,"🎼 | Listen on Spotify, Apple music and more
→  https://fanlink.tv/ChillSynthwave

🎶 | Subscribe to this channel for more synthwave music
→  https://bit.ly/synthwave-channel

🌎...",2448,LIVE,True,['LIVE'],NO,2024-10-13
8,video,"(EXCLUSIVE) Boris Johnson: ""They Were Looking at Engineering the Virus & The Government Bribed Me!""","Boris Johnson is the former UK Prime Minister, serving from 2019 to 2022. He was the 55th Prime Minister, led through 3 of the biggest crises of the last century, and is one of the most controversi...",912713,1:53:38,,,NO,2024-10-13
9,video,Traffic Stops: Last Week Tonight with John Oliver (HBO),"John Oliver discusses the power given to cops during traffic stops and some simple ways we can start to change that, and what it all has to do with the worst musical on Broadway.

Connect with...",1851682,28:00,,,NO,2024-10-13
10,video,GLADIATOR 2 Extended Trailer (4K ULTRA HD) 2024,"trailer for gladiator 2 Starring Paul Mescal, Pedro Pascal, Connie Nielsen, Denzel Washington in 4K ULTRA HD Quality",949421,5:43,,,NO,2024-10-13
