,type,title,description,viewCount,lengthText,isLive,badges,country,date
0,video,A Happy Little Weekend Marathon!,"!bob
!cabin
!ripdevil
!paintlikebobross

Bob Ross weekend marathons begin every Friday at 12pm ET.

Streaming this weekend:
Season 25
Season 26
Season 27
Season 28

Ends Monday at 10am ET....",1244,LIVE,True,['LIVE'],CA,2024-10-13
1,shorts_listing,Shorts,,,,,,CA,2024-10-13
2,video_listing,Trending,,,,,,CA,2024-10-13
3,shorts_listing,Shorts,,,,,,CA,2024-10-13
4,video,My Most DETAILED Minecraft Build EVER,"Break up with basic browsers. Get Opera GX here: https://operagx.gg/Snifferish
-
SUPPORT ME ON PATREON: https://www.patreon.com/Snifferish
OR CONSIDER BUYING MY MERCH: https://sneafie.com/...",997210,27:55,,,CA,2024-10-13
5,video,Second Half Champions - Women Redefining Success in Sports and Business |  #TheGrill2024,"See the full story here!: https://www.thewrap.com/megan-rapinoe-womens-sports-industry-resistance/

Presented By @citynationalbank 

Subscribe to TheWrap's YouTube: https://bit.ly/TheWrapYTSub...",158,37:20,,,CA,2024-10-13
6,video,"Cozy Autumn Porch Ambience with Jazz Relaxing Music 🍂 Smooth Jazz Background Music for Work, Unwind","Cozy Autumn Porch Ambience with Jazz Relaxing Music 🍂 Smooth Jazz Background Music for Work, Unwind

👉️🎼 Let's experience the great music on Spotify of Relax Jazz Cafe. Register...",156715,11:55:00,,,CA,2024-10-13
7,video,🔴 LIVE: SpaceX Launches Starship for the Fifth Time (and Tries to Catch a Booster),"SpaceX is preparing the launch of the fifth Starship flight test. The window for the launch opens at 7 a.m. local time on Sunday. The company has confirmed on its website, and X, that it is...",60928,LIVE,True,['LIVE'],CA,2024-10-13
8,video,The Internet Will End Soon…,"Go to https://incogni.com/pursuitofwonder to get an exclusive 60% off annual Incogni plan. Thank you to Incogni for sponsoring this video. 

In this video, we explore the history, present,...",2201413,17:54,,,CA,2024-10-13
9,video,I REBUILT A WRECKED LAMBORGHINI URUS THEN GAVE IT TO MY GIRLFRIEND,"Grab a YFood Taster Pack here - https://bit.ly/MatArmstrong_yfood_TasterPack

I bought a wrecked Lamborghini Urus from auction for my girlfriend. But now i have to rebuild it, theres damage...",3294200,37:08,,,CA,2024-10-13
10,video,Deion “Coach Prime” Sanders' post-Kansas State game press conference,"Video of Deion ""Coach Prime"" Sanders' press conference following Colorado's 31-28 loss to Kansas State at Folsom Field. #cubuffs #deionsanders #coachprime",949,12:10,,,CA,2024-10-13
11,video,"50 Hoopers Compete for $25,000","I gathered 50 elite hoopers to create the ultimate AAU team. This is the first part of a 2 part series, so stay tuned for next week!

Football vs Basketball - Who Are Better Athletes?
► https://y...",1825275,28:18,,,CA,2024-10-13
12,video,Building a Tiny Office Pod Under My Stairs,"Mr Cool!
Huge thanks to ‪@MrcoolComfort‬  for Sponsoring this video! The DIY Ductless Mini-Split is a great option for homeowners looking for total comfort in their space without the hefty...",3574234,51:47,,,CA,2024-10-13
13,video,Max and Caroline Becoming Besties: Part 1 | 2 Broke Girls,"Before they met, Max had never taken a bubble bath and Caroline had never been to Goodwill. Now, they're (almost) inseparable — and still have no money!

Subscribe Now for More Laughs:
https://ww...",1035398,36:52,,,CA,2024-10-13
14,video,What a Small Town in Japan is Like,"Welcome to Kofu, Tottori. Population 2,500.

Thanks to all my supporters on Patreon https://www.patreon.com/lifewhereimfrom for making documentaries like this possible

Yes, I called the town...",928176,45:38,,,CA,2024-10-13
15,video,"432Hz - The DEEPEST Healing, Stop Thinking Too Much, Eliminate Stress, Anxiety and Calm the Mind #23","432Hz - The DEEPEST Healing, Stop Thinking Too Much, Eliminate Stress, Anxiety and Calm the Mind #23
432Hz - The DEEPEST Healing, Stop Thinking Too Much, Eliminate Stress, Anxiety and Calm...",920401,11:54:59,,,CA,2024-10-13
16,video,"Luxury Truck Camping in $1,100,000 Earth Roamer","Check out the new Intel Core Ultra here: https://tag.gs/Mav_IntelCoreUltra
@Intel @Dell #intelcoreultra  


https://mavoutdoors.com/

Book a stay at my Airbnb - https://www.airbnb.com/rooms/5261589...",1341718,1:01:10,,,CA,2024-10-13
17,video,Hurricane and Tropical Storm Chance Grows...,"Two Areas! In this video, the chance of a Hurricane forming is higher. Plus, the mudslide and flood threat across Central America. 

This is a very busy time of Hurricane Season. Please see...",56858,18:06,,,CA,2024-10-13
18,video,GUESS WHO: FOOTBALLER EDITION,"@Niko plays Guess Who but in real life with Footballers against @AjShabeel  @bradleymiller_uk 

Follow my Instagram- http://instagram.com/niko
Follow me on Twitter- https://twitter.com/NikoOmilana...",1819141,45:01,,,CA,2024-10-13
19,video,Jaguar Wright & Orlando Brown | CLASH OF THE TITANS [Full Interview],"Join this channel for EARLY access to uncut & uncensored interviews
https://www.youtube.com/channel/UCAQLEDkByO-ckKb_oq_Stpg/join
-----
DONATE TO REALLYFE PRODUCTIONS CashApp $RealLyfeProductions...",847630,56:17,,,CA,2024-10-13
20,video,Trump Live | Trump's Remark On Iran | Trump Speech | Trump Rally | US Elections 2024 | News18 | N18G,"Trump Live | Trump's Remark On Iran | Trump Speech | Trump Rally | US Elections 2024 | News18 | N18G

Donald Trump has been briefed by US intelligence on threats from Iran to assassinate him,...",615,LIVE,True,['LIVE'],CA,2024-10-13
21,video,"October 12, 2024",Driving through Siesta Key after Milton 2024,558,15:59,,,CA,2024-10-13
22,video,The biggest JETS from a BLACK HOLE ever found,AD - Go to https://ground.news/drbecky to stay fully informed with the latest Space and Science news. Save 40% off the Vantage plan through my link for unlimited access this month only. Black...,97919,16:03,,,CA,2024-10-13
