,type,title,description,viewCount,lengthText,isLive,country,date
0,video,Autumn Porch Vibes 🍂 Enchanting Jazz Playlist and Gentle Fire Sounds for Cozy Halloween Evenings 🎃,"Autumn Porch Vibes 🍂 Enchanting Jazz Playlist and Gentle Fire Sounds for Cozy Halloween Evenings 🎃

🎼 | Spotify: https://open.spotify.com/playlist/69xHsuczIvQc5v4jQRtP9a

🎷 What...",1769,LIVE,True,ES,2024-10-16
1,shorts_listing,Shorts,,,,,ES,2024-10-16
2,video_listing,Trending,,,,,ES,2024-10-16
3,shorts_listing,Shorts,,,,,ES,2024-10-16
4,video,"Summer Mix 2024 🍓 Best Popular Songs 2024 🍓Faded, Supergirl, A Sky Full Of Star, Perfect Cover","Summer Mix 2024 🍓 Best Popular Songs 2024 🍓Faded, Supergirl, A Sky Full Of Star, Perfect Cover
🟢 Stream/Download: https://listen.magicrelaxmusic.com/deep/spotify:auto

#summermix #deephous...",3675,LIVE,True,ES,2024-10-16
5,video,"Hits 1990: 1 hour of music ft. Sinéad O’Connor, Mariah Carey, Roxette, George Michael, INXS + more!","👉🏻 I don't monetize the channel, so if you want to tip me, it will be very appreciated 😊: https://www.paypal.com/donate?hosted_button_id=H2CPV89EGMNWW 🙏🏻",2641503,59:47,,ES,2024-10-16
6,video,"Ed Sheeran, Bruno Mars, Dua Lipa, Adele, Maroon 5, Rihanna, The Weeknd - Pop music 2024","Ed Sheeran, Bruno Mars, Dua Lipa, Adele, Maroon 5, Rihanna, The Weeknd - Pop music 2024
Ed Sheeran, Bruno Mars, Dua Lipa, Adele, Maroon 5, Rihanna, The Weeknd - Pop music 2024
https://youtu.be/ZPRn...",631364,3:00:56,,ES,2024-10-16
7,video,عبد الباسط عبد الصمد تلاوة تريح القلب سورة يس + الواقعة+ الرحمن + الملك+ الكهف لزيادة الرزق و البركة,"عبد الباسط عبد الصمد تلاوة تريح القلب سورة يس + الواقعة+ الرحمن + الملك+ الكهف لزيادة الرزق و البركة
سورة يس...",2738301,2:41:03,,ES,2024-10-16
8,video,Tranquill Jazz In Lakeside | Cozy Outdoor Autumn Coffee Shop Ambience With Warm Fireplace For Rel...,"Tranquill Jazz In Lakeside | Cozy Outdoor Autumn Coffee Shop Ambience With Warm Fireplace For Relax
Channel: Tranquill Jazz Melody
Composer: ViVi Smooth Jazz
Happy Lightly Jazz ☕ Feeling...",653927,3:20:14,,ES,2024-10-16
9,video,"639Hz- Tibetan Sounds to Cure Old Negative Energy, Attract Positive Energy, Heal the Soul","639Hz- Tibetan Sounds to Cure Old Negative Energy, Attract Positive Energy, Heal the Soul

This is a meditation that you can do at any time. Each frequency in this meditation corresponds to...",205795,3:04:55,,ES,2024-10-16
