,type,title,description,viewCount,lengthText,country,date
0,video,Warm Morning Jazz Music at Fall Coffee Shop Ambience 🍂 Relaxing Jazz Instrumental Music for Studying,"Warm Morning Jazz Music at Fall Coffee Shop Ambience 🍂 Relaxing Jazz Instrumental Music for Studying

👉️🎼 Let's experience the great music on Spotify of Relax Jazz Cafe. Register...",193622,11:54:57,IT,2024-10-16
1,shorts_listing,Shorts,,,,IT,2024-10-16
2,video_listing,Trending,,,,IT,2024-10-16
3,shorts_listing,Shorts,,,,IT,2024-10-16
4,video,"Tronditet Tirana! Gardisti qëllon veten me armë, ja çfarë dyshojnë familjarët…","People me Flori Gjini është programi që sjell njeriun e vërtetë dhe të zakonshëm, por me historinë e jashtëzakonshme. Histori të treguara nga vetë ata, ku gjithkush gjen një copëz...",35786,32:15,IT,2024-10-16
5,video,World's Spiciest Cooking Challenge,"Loser has to eat the world's spiciest pepper. Watch to the end to see who it is!

Thanks to Sean + Esther + @FirstWeFeast for making this happen :)

And thanks to all the following for helping...",2822255,25:38,IT,2024-10-16
6,video,"Ed Sheeran, Bruno Mars, Dua Lipa, Adele, Maroon 5, Rihanna, The Weeknd - Pop music 2024","Ed Sheeran, Bruno Mars, Dua Lipa, Adele, Maroon 5, Rihanna, The Weeknd - Pop music 2024
Ed Sheeran, Bruno Mars, Dua Lipa, Adele, Maroon 5, Rihanna, The Weeknd - Pop music 2024
https://youtu.be/ZPRn...",631364,3:00:56,IT,2024-10-16
7,video,L'INTERA storia di Dragon Ball Super in 17 minuti,"Siete pronti per questo viaggio nella nostalgia nelle avventure di Goku e tutti i suoi amici nell'universo di Dragon Ball? 

Dragon Ball é una delle opere più famose scritte da Akira Toriyama,...",50961,17:15,IT,2024-10-16
8,video,JOHN WICK BALLERINA Trailer (4K ULTRA HD) NEW 2025,"Official new movie trailer for John Wick Ballerina

Plot : A young female assassin seeks revenge against the people who killed her family.


Follow Us On Instagram : https://www.instagram.com/films...",2328592,2:34,IT,2024-10-16
9,video,6 Grandmas vs 1 Fake | Odd One Out (ft. Duncan Joseph),"Apply for our new series “AITA? irl” here: https://bit.ly/4eyMe1o

Hey you 👈 Wanna be in a Jubilee video? https://bit.ly/be-in-a-video

LET’S BE FRIENDS
Instagram: https://www.instagram.co...",2279874,22:32,IT,2024-10-16
